accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2022201168932,2022,201168932,1,90,electric scooter
2022201169014,2022,201169014,2,90,electric scooter
2022201177631,2022,201177631,2,90,electric scooter
2022201179034,2022,201179034,1,90,electric scooter
2022201187929,2022,201187929,2,90,electric scooter
2022201195492,2022,201195492,2,90,electric scooter
2022201195517,2022,201195517,2,90,electric scooter
2022201196392,2022,201196392,1,90,electric scooter
2022201197565,2022,201197565,1,90,electric scooter
2022201197645,2022,201197645,1,90,electric scooter
2022201197992,2022,201197992,2,90,electric scooter
2022201199761,2022,201199761,1,90,electric scooter
2022201203800,2022,201203800,2,90,electric scooter
2022201205765,2022,201205765,2,90,electric scooter
2022201205807,2022,201205807,2,90,electric scooter
2022201209245,2022,201209245,2,90,electric scooter
2022201212723,2022,201212723,1,90,electric scooter
2022201216559,2022,201216559,1,90,electric scooter
2022201218805,2022,201218805,2,90,electric scooter
2022201219184,2022,201219184,2,90,electric scooter
2022201219215,2022,201219215,2,90,electric scooter
2022201219565,2022,201219565,2,90,electric scooter
2022201220964,2022,201220964,1,90,electric scooter
2022201221293,2022,201221293,2,90,electric scooter
2020100981149,2020,100981149,2,90,electric scooter
2020450970143,2020,450970143,1,90,electric scooter
2020010275314,2020,010275314,2,90,electric scooter
2020010272371,2020,010272371,2,90,electric scooter
2020010258887,2020,010258887,2,90,electric scooter
2020040963552,2020,040963552,2,90,electric scooter
2020010270768,2020,010270768,2,90,electric scooter
2020010270605,2020,010270605,2,90,electric scooter
2020010284311,2020,010284311,2,90,electric scooter
2020010261537,2020,010261537,3,90,electric scooter
2020370966075,2020,370966075,1,90,electric scooter
2020010240325,2020,010240325,2,90,electric scooter
2020010275921,2020,010275921,2,90,electric scooter
2020622000914,2020,622000914,1,90,electric scooter
2020010258815,2020,010258815,2,90,electric scooter
2020010254055,2020,010254055,1,90,electric scooter
2020010276096,2020,010276096,2,90,electric scooter
202031C178920,2020,31C178920,2,90,electric scooter
2020010278063,2020,010278063,2,90,electric scooter
2020010270221,2020,010270221,2,90,electric scooter
2020340N02082,2020,340N02082,1,90,electric scooter
2020500981946,2020,500981946,1,90,electric scooter
2020470967601,2020,470967601,1,90,electric scooter
2020010282301,2020,010282301,2,90,electric scooter
2020010238350,2020,010238350,1,90,electric scooter
2020010272894,2020,010272894,1,90,electric scooter
2020010278345,2020,010278345,1,90,electric scooter
2020200985823,2020,200985823,2,90,electric scooter
2020010262586,2020,010262586,2,90,electric scooter
2020622100016,2020,622100016,2,90,electric scooter
2020010272805,2020,010272805,2,90,electric scooter
